Scenario,Setpoint_g,TrialNo,FinalMass_g,FinalError_g,AbsError_pct,MaxOvershoot_pct,Duration_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,WithinTolerance,StopReason,LogPath
GS PID,30.0,9,29.66,-0.33999999999999986,1.1333333333333329,0.0,26.978,20.651,23.708,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP30/GS_PID_SP30_trial09.txt
GS PID,30.0,10,29.85,-0.14999999999999858,0.4999999999999952,0.0,25.172,14.714,22.16,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP30/GS_PID_SP30_trial10.txt
Manual Cepat,15.0,1,15.33,0.33000000000000007,2.2000000000000006,0.0,3.058,,,0,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP15/ManualCepat_SP15_trial01.txt
Manual Cepat,15.0,2,15.91,0.9100000000000001,6.066666666666667,0.0,5.123,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP15/ManualCepat_SP15_trial02.txt
Manual Cepat,15.0,3,15.35,0.34999999999999964,2.333333333333331,0.0,4.865,,,0,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP15/ManualCepat_SP15_trial03.txt
Manual Cepat,15.0,4,20.48,5.48,36.53333333333333,0.0,5.123,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP15/ManualCepat_SP15_trial04.txt
Manual Cepat,15.0,5,22.17,7.170000000000002,47.80000000000001,0.0,17.258,,,2,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP15/ManualCepat_SP15_trial05.txt
Manual Cepat,15.0,6,16.1,1.1000000000000014,7.333333333333343,0.0,1.25,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP15/ManualCepat_SP15_trial06.txt
Manual Cepat,15.0,7,23.61,8.61,57.4,0.0,8.997,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP15/ManualCepat_SP15_trial07.txt
Manual Cepat,15.0,8,14.92,-0.08000000000000007,0.5333333333333339,0.0,3.057,,,0,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP15/ManualCepat_SP15_trial08.txt
Manual Cepat,15.0,9,18.01,3.0100000000000016,20.066666666666677,0.0,3.057,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP15/ManualCepat_SP15_trial09.txt
Manual Cepat,15.0,10,21.43,6.43,42.86666666666667,0.0,11.579,,,1,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP15/ManualCepat_SP15_trial10.txt
Manual Cepat,20.0,1,22.92,2.9200000000000017,14.600000000000007,0.0,11.062,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP20/ManualCepat_SP20_trial01.txt
Manual Cepat,20.0,2,23.1,3.1000000000000014,15.500000000000009,0.0,4.865,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP20/ManualCepat_SP20_trial02.txt
Manual Cepat,20.0,3,19.81,-0.19000000000000128,0.9500000000000064,0.0,11.582,,,0,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP20/ManualCepat_SP20_trial03.txt
Manual Cepat,20.0,4,20.59,0.5899999999999999,2.9499999999999993,0.0,17.78,,,1,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP20/ManualCepat_SP20_trial04.txt
Manual Cepat,20.0,5,22.21,2.210000000000001,11.050000000000004,0.0,13.131,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP20/ManualCepat_SP20_trial05.txt
Manual Cepat,20.0,6,20.71,0.7100000000000009,3.5500000000000047,0.0,5.383,,,0,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP20/ManualCepat_SP20_trial06.txt
Manual Cepat,20.0,7,20.74,0.7399999999999984,3.699999999999992,0.0,4.866,,,0,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP20/ManualCepat_SP20_trial07.txt
Manual Cepat,20.0,8,23.26,3.2600000000000016,16.300000000000008,0.0,11.324,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP20/ManualCepat_SP20_trial08.txt
Manual Cepat,20.0,9,21.52,1.5199999999999996,7.599999999999999,0.0,13.39,,,1,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP20/ManualCepat_SP20_trial09.txt
Manual Cepat,20.0,10,23.26,3.2600000000000016,16.300000000000008,0.0,4.867,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP20/ManualCepat_SP20_trial10.txt
Manual Cepat,25.0,1,28.24,3.2399999999999984,12.959999999999994,0.0,5.64,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP25/ManualCepat_SP25_trial01.txt
Manual Cepat,25.0,2,31.57,6.57,26.280000000000005,0.0,9.256,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP25/ManualCepat_SP25_trial02.txt
Manual Cepat,25.0,3,24.7,-0.3000000000000007,1.2000000000000028,0.0,9.774,,,0,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP25/ManualCepat_SP25_trial03.txt
Manual Cepat,25.0,4,26.85,1.8500000000000014,7.400000000000005,0.0,13.131,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP25/ManualCepat_SP25_trial04.txt
Manual Cepat,25.0,5,28.44,3.4400000000000013,13.760000000000005,0.0,15.197,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP25/ManualCepat_SP25_trial05.txt
Manual Cepat,25.0,6,26.58,1.5799999999999983,6.319999999999994,0.0,7.191,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP25/ManualCepat_SP25_trial06.txt
Manual Cepat,25.0,7,26.65,1.6499999999999986,6.599999999999994,0.0,9.258,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP25/ManualCepat_SP25_trial07.txt
Manual Cepat,25.0,8,25.52,0.5199999999999996,2.0799999999999983,0.0,7.966,,,0,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP25/ManualCepat_SP25_trial08.txt
Manual Cepat,25.0,9,25.08,0.0799999999999983,0.3199999999999932,0.0,11.581,,,0,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP25/ManualCepat_SP25_trial09.txt
Manual Cepat,25.0,10,32.63,7.630000000000003,30.520000000000007,0.0,11.065,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP25/ManualCepat_SP25_trial10.txt
Manual Cepat,30.0,1,33.19,3.1899999999999977,10.633333333333326,0.0,9.776,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP30/ManualCepat_SP30_trial01.txt
Manual Cepat,30.0,2,30.92,0.9200000000000017,3.066666666666672,0.0,21.917,,,2,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP30/ManualCepat_SP30_trial02.txt
Manual Cepat,30.0,3,32.5,2.5,8.333333333333332,0.0,29.926,,,2,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP30/ManualCepat_SP30_trial03.txt
Manual Cepat,30.0,4,30.41,0.41000000000000014,1.3666666666666671,0.0,7.71,,,0,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP30/ManualCepat_SP30_trial04.txt
Manual Cepat,30.0,5,32.18,2.1799999999999997,7.266666666666666,0.0,21.403,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP30/ManualCepat_SP30_trial05.txt
Manual Cepat,30.0,6,30.79,0.7899999999999991,2.6333333333333306,0.0,22.177,,,0,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP30/ManualCepat_SP30_trial06.txt
Manual Cepat,30.0,7,33.79,3.789999999999999,12.63333333333333,0.0,17.269,,,1,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP30/ManualCepat_SP30_trial07.txt
Manual Cepat,30.0,8,32.93,2.9299999999999997,9.766666666666666,0.0,15.461,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP30/ManualCepat_SP30_trial08.txt
