Scenario,Setpoint_g,TrialNo,LogPath,Column,LogValue,DatasetValue,AbsoluteDifference,Tolerance,Status,Notes
Fixed PID,20.0,3,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial03.txt,MaxOvershoot_pct,0.0,9.37,9.37,0.01,MISMATCH,Outside tolerance
Fixed PID,20.0,3,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial03.txt,Duration_s,20.527,20.53,0.0030000000000001137,0.01,MATCH,Within tolerance
Fixed PID,20.0,3,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial03.txt,RiseTime_10_90_s,14.457,14.457,0.0,0.01,MATCH,Within tolerance
Fixed PID,20.0,3,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial03.txt,SettlingTime_s,,,0.0,0.01,MATCH,Both NaN
Fixed PID,20.0,3,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial03.txt,BridgingCount,0,0,,EXACT,MATCH,Exact match
Fixed PID,20.0,3,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial03.txt,WithinTolerance,False,0,,EXACT,MATCH,Exact match
Fixed PID,20.0,3,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial03.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,20.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial04.txt,FinalMass_g,20.23,20.23,0.0,0.01,MATCH,Within tolerance
Fixed PID,20.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial04.txt,FinalError_g,0.23000000000000043,0.23,4.163336342344337e-16,0.01,MATCH,Within tolerance
Fixed PID,20.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial04.txt,AbsError_pct,1.1500000000000021,1.14,0.01000000000000223,0.01,MISMATCH,Outside tolerance
Fixed PID,20.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial04.txt,MaxOvershoot_pct,0.0,1.14,1.14,0.01,MISMATCH,Outside tolerance
Fixed PID,20.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial04.txt,Duration_s,31.117,31.12,0.0030000000000001137,0.01,MATCH,Within tolerance
Fixed PID,20.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial04.txt,RiseTime_10_90_s,23.24,23.24,0.0,0.01,MATCH,Within tolerance
Fixed PID,20.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial04.txt,SettlingTime_s,,29.655,,0.01,MISMATCH,One is NaN
Fixed PID,20.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial04.txt,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,20.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial04.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,20.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial04.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,20.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial05.txt,FinalMass_g,29.05,29.05,0.0,0.01,MATCH,Within tolerance
Fixed PID,20.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial05.txt,FinalError_g,9.05,9.05,0.0,0.01,MATCH,Within tolerance
Fixed PID,20.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial05.txt,AbsError_pct,45.25,45.26,0.00999999999999801,0.01,MATCH,Within tolerance
Fixed PID,20.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial05.txt,MaxOvershoot_pct,0.0,45.26,45.26,0.01,MISMATCH,Outside tolerance
