======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 25.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 24.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 5
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Servo_deg: 20
DtaFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
DATA,27081,15.32,9.68,38.7%,OPEN_SLOW,20,Z2
DATA,27340,15.55,9.45,37.8%,OPEN_SLOW,20,Z2
DATA,27598,15.56,9.44,37.8%,OPEN_SLOW,20,Z2
DATA,27856,15.56,9.44,37.8%,OPEN_SLOW,20,Z2
DATA,28115,15.57,9.43,37.7%,OPEN_SLOW,20,Z2
DATA,28373,15.60,9.40,37.6%,OPEN_SLOW,20,Z2
DATA,28631,15.41,9.59,38.4%,OPEN_SLOW,20,Z2
DATA,28890,15.51,9.49,38.0%,OPEN_SLOW,20,Z2
DATA,29148,15.47,9.53,38.1%,OPEN_SLOW,20,Z2
DATA,29406,15.66,9.34,37.4%,OPEN_SLOW,20,Z2
DATA,29664,15.78,9.22,36.9%,OPEN_SLOW,20,Z2
DATA,29923,15.64,9.36,37.4%,OPEN_SLOW,20,Z2
DATA,30181,15.68,9.32,37.3%,OPEN_SLOW,20,Z2
DATA,30439,15.78,9.22,36.9%,OPEN_SLOW,20,Z2
DATA,30698,15.71,9.29,37.2%,OPEN_SLOW,20,Z2
BRIDGING #5 @15.70g hammer
DATA,30956,15.70,9.30,37.2%,OPEN_SLOW,20,Z2
DATA,31215,15.72,9.28,37.1%,OPEN_SLOW,20,Z2
DATA,31473,15.70,9.30,37.2%,OPEN_SLOW,20,Z2
DATA,31731,15.68,9.32,37.3%,OPEN_SLOW,20,Z2
DATA,31989,16.52,8.48,33.9%,OPEN_SLOW,20,Z2
DATA,32247,17.47,7.53,30.1%,OPEN_SLOW,20,Z2
DATA,32506,17.40,7.60,30.4%,OPEN_SLOW,20,Z2
DATA,32764,17.29,7.71,30.8%,OPEN_SLOW,20,Z2
DATA,33022,17.15,7.85,31.4%,OPEN_SLOW,20,Z2
DATA,33281,17.14,7.86,31.4%,OPEN_SLOW,20,Z2
DATA,33539,17.30,7.70,30.8%,OPEN_SLOW,20,Z2
DATA,33797,17.22,7.78,31.1%,OPEN_SLOW,20,Z2
DATA,34055,17.19,7.81,31.2%,OPEN_SLOW,20,Z2
DATA,34314,17.20,7.80,31.2%,OPEN_SLOW,20,Z2
DATA,34572,17.11,7.89,31.6%,OPEN_SLOW,20,Z2
DATA,34830,17.18,7.82,31.3%,OPEN_SLOW,20,Z2
DATA,35089,17.15,7.85,31.4%,OPEN_SLOW,20,Z2
DATA,35347,17.19,7.81,31.2%,OPEN_SLOW,20,Z2
DATA,35605,17.22,7.78,31.1%,OPEN_SLOW,20,Z2
DATA,35864,17.24,7.76,31.0%,OPEN_SLOW,20,Z2
DATA,36122,17.27,7.73,30.9%,OPEN_SLOW,20,Z2
DATA,36380,17.29,7.71,30.8%,OPEN_SLOW,20,Z2
DATA,36639,17.24,7.76,31.1%,OPEN_SLOW,20,Z2
DATA,36897,17.27,7.73,30.9%,OPEN_SLOW,20,Z2
BRIDGING #6 @17.28g hammer
DATA,37155,17.28,7.72,30.9%,OPEN_SLOW,20,Z2
DATA,37414,17.30,7.70,30.8%,OPEN_SLOW,20,Z2
DATA,37672,17.32,7.68,30.7%,OPEN_SLOW,20,Z2
DATA,37930,17.31,7.69,30.8%,OPEN_SLOW,20,Z2
DATA,38188,18.35,6.65,26.6%,OPEN_SLOW,20,Z2
DATA,38447,20.73,4.27,17.1%,OPEN_SLOW,20,Z2
DATA,38705,20.64,4.36,17.4%,OPEN_SLOW,20,Z2
DATA,38963,20.58,4.42,17.7%,OPEN_SLOW,20,Z2
DATA,39222,20.61,4.39,17.6%,OPEN_SLOW,20,Z2
DATA,39480,20.67,4.33,17.3%,OPEN_SLOW,20,Z2
DATA,39738,23.47,1.53,6.1%,OPEN_SLOW,20,Z3
=== SUMMARY TRIAL ===
Controller: Manual Presisi
TrialNo: 5
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
FinalMass_g: 24.90
FinalError_g: -0.10
FinalError_pct: -0.40
Duration_ms: 40254
Duration_s: 40.25
TimeTo90_ms: 39738
RiseTime_10_90_ms: 32288
SettlingTime_ms: 39996
MaxMass_g: 24.90
MaxOvershoot_g: 0.00
MaxOvershoot_pct: 0.00
BridgingCount: 6
Status: AKURAT
Valid: TRUE
StopReason: TARGET
=== TRIAL END ===
r=reset | g=ulangi | c=parameter
