No,Scenario,Controller,Setpoint_g,TrialNo,FileName,FinalMass_g,FinalError_g,FinalError_pct,AbsError_g,AbsError_pct,MaxOvershoot_g,MaxOvershoot_pct,Duration_s,TimeTo90_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,Status,Valid,StopReason,EarlyStop_g,Notes,WithinTolerance
78,GS PID,Gain Scheduling PID,30.0,8,GS_PID_SP30_trial08.txt,29.86,-0.14,-0.47,0.14,0.47,0.0,0.0,24.4,22.94,22.206,22.94,2,AKURAT,True,TARGET,0.4,,1
79,GS PID,Gain Scheduling PID,30.0,9,GS_PID_SP30_trial09.txt,29.66,-0.34,-1.14,0.34,1.14,0.0,0.0,26.98,23.45,20.651,23.708,1,AKURAT,True,TARGET,0.4,,1
80,GS PID,Gain Scheduling PID,30.0,10,GS_PID_SP30_trial10.txt,29.85,-0.15,-0.51,0.15,0.51,0.0,0.0,25.17,17.255,14.714,22.16,0,AKURAT,True,TARGET,0.4,,1
81,Manual Cepat,Manual Cepat,15.0,1,ManualCepat_SP15_trial01.txt,15.33,0.33,2.19,0.33,2.19,0.33,2.19,3.06,2.8,2.324,2.8,0,AKURAT,True,TARGET,0.4,,1
82,Manual Cepat,Manual Cepat,15.0,2,ManualCepat_SP15_trial02.txt,15.91,0.91,6.08,0.91,6.08,0.91,6.08,5.12,4.607,4.132,,0,OVERSHOOT,True,TARGET,0.4,,0
83,Manual Cepat,Manual Cepat,15.0,3,ManualCepat_SP15_trial03.txt,15.35,0.35,2.36,0.35,2.36,0.35,2.36,4.87,3.316,3.099,4.607,0,AKURAT,True,TARGET,0.4,,1
84,Manual Cepat,Manual Cepat,15.0,4,ManualCepat_SP15_trial04.txt,20.48,5.48,36.52,5.48,36.52,5.48,36.52,5.12,4.865,4.389,,0,OVERSHOOT,True,TARGET,0.4,,0
85,Manual Cepat,Manual Cepat,15.0,5,ManualCepat_SP15_trial05.txt,22.17,7.17,47.83,7.17,47.83,7.17,47.83,17.26,17.0,16.525,,2,OVERSHOOT,True,TARGET,0.4,,0
86,Manual Cepat,Manual Cepat,15.0,6,ManualCepat_SP15_trial06.txt,16.1,1.1,7.33,1.1,7.33,1.1,7.33,1.25,0.992,0.517,,0,OVERSHOOT,True,TARGET,0.4,,0
87,Manual Cepat,Manual Cepat,15.0,7,ManualCepat_SP15_trial07.txt,23.61,8.61,57.4,8.61,57.4,8.61,57.4,9.0,6.931,6.455,,0,OVERSHOOT,True,TARGET,0.4,,0
88,Manual Cepat,Manual Cepat,15.0,8,ManualCepat_SP15_trial08.txt,14.92,-0.08,-0.52,0.08,0.52,0.36,2.4,3.06,2.8,2.325,2.8,0,AKURAT,True,TARGET,0.4,,1
89,Manual Cepat,Manual Cepat,15.0,9,ManualCepat_SP15_trial09.txt,18.01,3.01,20.05,3.01,20.05,3.01,20.05,3.06,2.8,2.324,,0,OVERSHOOT,True,TARGET,0.4,,0
