Scenario,Setpoint_g,TrialNo,Column,RegeneratedValue,CanonicalValue,AbsoluteDifference,Tolerance,Status,Notes
Fixed PID,15.0,6,Valid,True,True,,EXACT,MATCH,Exact match
Fixed PID,15.0,6,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,6,EarlyStop_g,0.4,0.4,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,6,WithinTolerance,0,0,,EXACT,MATCH,Exact match
Fixed PID,15.0,7,Scenario,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,7,Controller,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,7,Setpoint_g,15.0,15.0,,EXACT,MATCH,Exact match
Fixed PID,15.0,7,TrialNo,7,7,,EXACT,MATCH,Exact match
Fixed PID,15.0,7,FileName,Fixed PID_SP15_trial07.txt,Fixed PID_SP15_trial07.txt,,EXACT,MATCH,Exact match
Fixed PID,15.0,7,FinalMass_g,15.34,15.34,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,7,FinalError_g,0.34,0.34,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,7,FinalError_pct,2.27,2.27,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,7,AbsError_g,0.34,0.34,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,7,AbsError_pct,2.27,2.27,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,7,MaxOvershoot_g,0.45,0.45,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,7,MaxOvershoot_pct,3.03,3.03,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,7,Duration_s,27.24,27.24,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,7,TimeTo90_s,23.456,23.456,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,7,RiseTime_10_90_s,20.914,20.914,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,7,SettlingTime_s,25.522,25.522,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,7,BridgingCount,0,0,,EXACT,MATCH,Exact match
Fixed PID,15.0,7,Status,AKURAT,AKURAT,,EXACT,MATCH,Exact match
Fixed PID,15.0,7,Valid,True,True,,EXACT,MATCH,Exact match
Fixed PID,15.0,7,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,7,EarlyStop_g,0.4,0.4,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,7,WithinTolerance,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,8,Scenario,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,8,Controller,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,8,Setpoint_g,15.0,15.0,,EXACT,MATCH,Exact match
Fixed PID,15.0,8,TrialNo,8,8,,EXACT,MATCH,Exact match
Fixed PID,15.0,8,FileName,Fixed PID_SP15_trial08.txt,Fixed PID_SP15_trial08.txt,,EXACT,MATCH,Exact match
Fixed PID,15.0,8,FinalMass_g,14.95,14.95,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,8,FinalError_g,-0.05,-0.05,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,8,FinalError_pct,-0.36,-0.36,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,8,AbsError_g,0.05,0.05,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,8,AbsError_pct,0.36,0.36,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,8,MaxOvershoot_g,0.0,0.0,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,8,MaxOvershoot_pct,0.0,0.0,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,8,Duration_s,24.66,24.66,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,8,TimeTo90_s,13.644,13.644,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,8,RiseTime_10_90_s,11.102,11.102,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,8,SettlingTime_s,23.198,23.198,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,8,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,8,Status,AKURAT,AKURAT,,EXACT,MATCH,Exact match
Fixed PID,15.0,8,Valid,True,True,,EXACT,MATCH,Exact match
Fixed PID,15.0,8,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,8,EarlyStop_g,0.4,0.4,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,8,WithinTolerance,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,9,Scenario,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,9,Controller,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,9,Setpoint_g,15.0,15.0,,EXACT,MATCH,Exact match
Fixed PID,15.0,9,TrialNo,9,9,,EXACT,MATCH,Exact match
Fixed PID,15.0,9,FileName,Fixed PID_SP15_trial09.txt,Fixed PID_SP15_trial09.txt,,EXACT,MATCH,Exact match
Fixed PID,15.0,9,FinalMass_g,16.04,16.04,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,9,FinalError_g,1.04,1.04,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,9,FinalError_pct,6.96,6.96,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,9,AbsError_g,1.04,1.04,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,9,AbsError_pct,6.96,6.96,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,9,MaxOvershoot_g,1.04,1.04,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,9,MaxOvershoot_pct,6.96,6.96,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,9,Duration_s,16.66,16.66,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,9,TimeTo90_s,11.062,11.062,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,9,RiseTime_10_90_s,8.52,8.52,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,9,SettlingTime_s,,,0.0,0.005,MATCH,Both NaN
Fixed PID,15.0,9,BridgingCount,0,0,,EXACT,MATCH,Exact match
Fixed PID,15.0,9,Status,OVERSHOOT,OVERSHOOT,,EXACT,MATCH,Exact match
Fixed PID,15.0,9,Valid,True,True,,EXACT,MATCH,Exact match
Fixed PID,15.0,9,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,9,EarlyStop_g,0.4,0.4,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,9,WithinTolerance,0,0,,EXACT,MATCH,Exact match
Fixed PID,15.0,10,Scenario,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,10,Controller,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,10,Setpoint_g,15.0,15.0,,EXACT,MATCH,Exact match
Fixed PID,15.0,10,TrialNo,10,10,,EXACT,MATCH,Exact match
Fixed PID,15.0,10,FileName,Fixed PID_SP15_trial10.txt,Fixed PID_SP15_trial10.txt,,EXACT,MATCH,Exact match
Fixed PID,15.0,10,FinalMass_g,19.28,19.28,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,10,FinalError_g,4.28,4.28,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,10,FinalError_pct,28.51,28.51,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,10,AbsError_g,4.28,4.28,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,10,AbsError_pct,28.51,28.51,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,10,MaxOvershoot_g,4.28,4.28,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,10,MaxOvershoot_pct,28.51,28.51,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,10,Duration_s,15.11,15.11,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,10,TimeTo90_s,13.644,13.644,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,10,RiseTime_10_90_s,11.102,11.102,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,10,SettlingTime_s,,,0.0,0.005,MATCH,Both NaN
Fixed PID,15.0,10,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,10,Status,OVERSHOOT,OVERSHOOT,,EXACT,MATCH,Exact match
Fixed PID,15.0,10,Valid,True,True,,EXACT,MATCH,Exact match
Fixed PID,15.0,10,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,10,EarlyStop_g,0.4,0.4,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,10,WithinTolerance,0,0,,EXACT,MATCH,Exact match
Fixed PID,20.0,1,Scenario,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,20.0,1,Controller,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,20.0,1,Setpoint_g,20.0,20.0,,EXACT,MATCH,Exact match
Fixed PID,20.0,1,TrialNo,1,1,,EXACT,MATCH,Exact match
Fixed PID,20.0,1,FileName,Fixed PID_SP20_trial01.txt,Fixed PID_SP20_trial01.txt,,EXACT,MATCH,Exact match
Fixed PID,20.0,1,FinalMass_g,20.72,20.72,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,1,FinalError_g,0.72,0.72,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,1,FinalError_pct,3.58,3.58,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,1,AbsError_g,0.72,0.72,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,1,AbsError_pct,3.58,3.58,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,1,MaxOvershoot_g,0.72,0.72,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,1,MaxOvershoot_pct,3.58,3.58,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,1,Duration_s,24.66,24.66,0.0,0.001,MATCH,Within tolerance
Fixed PID,20.0,1,TimeTo90_s,19.068,19.068,0.0,0.001,MATCH,Within tolerance
Fixed PID,20.0,1,RiseTime_10_90_s,16.526,16.526,0.0,0.001,MATCH,Within tolerance
Fixed PID,20.0,1,SettlingTime_s,21.65,21.65,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,1,BridgingCount,0,0,,EXACT,MATCH,Exact match
Fixed PID,20.0,1,Status,AKURAT,AKURAT,,EXACT,MATCH,Exact match
Fixed PID,20.0,1,Valid,True,True,,EXACT,MATCH,Exact match
Fixed PID,20.0,1,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,20.0,1,EarlyStop_g,0.4,0.4,0.0,0.001,MATCH,Within tolerance
Fixed PID,20.0,1,WithinTolerance,1,1,,EXACT,MATCH,Exact match
Fixed PID,20.0,2,Scenario,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,20.0,2,Controller,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,20.0,2,Setpoint_g,20.0,20.0,,EXACT,MATCH,Exact match
Fixed PID,20.0,2,TrialNo,2,2,,EXACT,MATCH,Exact match
Fixed PID,20.0,2,FileName,Fixed PID_SP20_trial02.txt,Fixed PID_SP20_trial02.txt,,EXACT,MATCH,Exact match
Fixed PID,20.0,2,FinalMass_g,19.82,19.82,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,2,FinalError_g,-0.18,-0.18,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,2,FinalError_pct,-0.89,-0.89,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,2,AbsError_g,0.18,0.18,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,2,AbsError_pct,0.89,0.89,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,2,MaxOvershoot_g,0.0,0.0,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,2,MaxOvershoot_pct,0.0,0.0,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,2,Duration_s,56.15,56.15,0.0,0.001,MATCH,Within tolerance
Fixed PID,20.0,2,TimeTo90_s,52.367,52.367,0.0,0.001,MATCH,Within tolerance
Fixed PID,20.0,2,RiseTime_10_90_s,49.826,49.826,0.0,0.001,MATCH,Within tolerance
Fixed PID,20.0,2,SettlingTime_s,54.433,54.433,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,2,BridgingCount,5,5,,EXACT,MATCH,Exact match
Fixed PID,20.0,2,Status,AKURAT,AKURAT,,EXACT,MATCH,Exact match
Fixed PID,20.0,2,Valid,True,True,,EXACT,MATCH,Exact match
Fixed PID,20.0,2,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,20.0,2,EarlyStop_g,0.4,0.4,0.0,0.001,MATCH,Within tolerance
Fixed PID,20.0,2,WithinTolerance,1,1,,EXACT,MATCH,Exact match
Fixed PID,20.0,3,Scenario,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,20.0,3,Controller,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,20.0,3,Setpoint_g,20.0,20.0,,EXACT,MATCH,Exact match
Fixed PID,20.0,3,TrialNo,3,3,,EXACT,MATCH,Exact match
Fixed PID,20.0,3,FileName,Fixed PID_SP20_trial03.txt,Fixed PID_SP20_trial03.txt,,EXACT,MATCH,Exact match
Fixed PID,20.0,3,FinalMass_g,21.87,21.87,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,3,FinalError_g,1.87,1.87,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,3,FinalError_pct,9.37,9.37,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,3,AbsError_g,1.87,1.87,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,3,AbsError_pct,9.37,9.37,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,3,MaxOvershoot_g,1.87,1.87,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,3,MaxOvershoot_pct,9.37,9.37,0.0,0.005,MATCH,Within tolerance
Fixed PID,20.0,3,Duration_s,20.53,20.53,0.0,0.001,MATCH,Within tolerance
Fixed PID,20.0,3,TimeTo90_s,16.999,16.999,0.0,0.001,MATCH,Within tolerance
Fixed PID,20.0,3,RiseTime_10_90_s,14.457,14.457,0.0,0.001,MATCH,Within tolerance
Fixed PID,20.0,3,SettlingTime_s,,,0.0,0.005,MATCH,Both NaN
Fixed PID,20.0,3,BridgingCount,0,0,,EXACT,MATCH,Exact match
Fixed PID,20.0,3,Status,OVERSHOOT,OVERSHOOT,,EXACT,MATCH,Exact match
Fixed PID,20.0,3,Valid,True,True,,EXACT,MATCH,Exact match
Fixed PID,20.0,3,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,20.0,3,EarlyStop_g,0.4,0.4,0.0,0.001,MATCH,Within tolerance
Fixed PID,20.0,3,WithinTolerance,0,0,,EXACT,MATCH,Exact match
