======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 15.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 14.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 4
Setpoint_g: 15.00
EarlyStop_g: 0.40
StopTarget_g: 14.60
Servo_deg: 0
ataFomat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,18042,6.49,8.51,56.7%,OPEN_SLOW,20,Z1
DATA,18300,6.72,8.28,55.2%,OPEN_SLOW,20,Z1
BRIDGING #1 @6.68g hammer
DATA,18559,6.68,8.32,55.5%,OPEN_SLOW,20,Z1
DATA,18817,6.77,8.23,54.9%,OPEN_SLOW,20,Z1
DATA,19075,6.53,8.47,56.4%,OPEN_SLOW,20,Z1
DATA,19333,6.55,8.45,56.3%,OPEN_SLOW,20,Z1
DATA,19592,7.01,7.99,53.3%,OPEN_SLOW,20,Z1
DATA,19850,8.11,6.89,45.9%,OPEN_SLOW,20,Z2
DATA,20108,7.98,7.02,46.8%,OPEN_SLOW,20,Z2
DATA,20366,7.91,7.09,47.3%,OPEN_SLOW,20,Z2
DATA,20625,7.87,7.13,47.5%,OPEN_SLOW,20,Z2
DATA,20883,7.87,7.13,47.5%,OPEN_SLOW,20,Z2
DATA,21141,7.91,7.09,47.3%,OPEN_SLOW,20,Z2
DATA,21400,7.94,7.06,47.0%,OPEN_SLOW,20,Z2
DATA,21658,7.95,7.05,47.0%,OPEN_SLOW,20,Z2
DATA,21916,7.96,7.04,46.9%,OPEN_SLOW,20,Z2
DATA,22175,7.95,7.05,47.0%,OPEN_SLOW,20,Z2
DATA,22433,7.98,7.02,46.8%,OPEN_SLOW,20,Z2
DATA,22691,8.00,7.00,46.6%,OPEN_SLOW,20,Z2
DATA,22950,7.96,7.04,46.9%,OPEN_SLOW,20,Z2
DATA,23208,7.94,7.06,47.1%,OPEN_SLOW,20,Z2
DATA,23466,7.98,7.02,46.8%,OPEN_SLOW,20,Z2
DATA,23724,7.96,7.04,46.9%,OPEN_SLOW,20,Z2
DATA,23983,7.97,7.03,46.9%,OPEN_SLOW,20,Z2
DATA,24241,7.97,7.03,46.9%,OPEN_SLOW,20,Z2
