No,Scenario,Controller,Setpoint_g,TrialNo,FileName,FinalMass_g,FinalError_g,FinalError_pct,AbsError_g,AbsError_pct,MaxOvershoot_g,MaxOvershoot_pct,Duration_s,TimeTo90_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,Status,Valid,StopReason,EarlyStop_g,Notes
92,Fixed PID,Fixed PID,20.0,2,Fixed PID_SP20_trial02.txt,20.29,0.29,1.44,0.29,1.44,0.29,1.44,39.12,27.586,25.045,35.848,1,AKURAT,TRUE,TARGET,0.4,
93,Fixed PID,Fixed PID,20.0,3,Fixed PID_SP20_trial03.txt,21.56,1.56,7.79,1.56,7.79,1.56,7.79,33.7,32.235,29.693,NA,1,OVERSHOOT,TRUE,TARGET,0.4,
94,Fixed PID,Fixed PID,20.0,4,Fixed PID_SP20_trial04.txt,20.19,0.19,0.96,0.19,0.96,0.35,1.76,26.98,23.713,22.979,25.262,1,AKURAT,TRUE,TARGET,0.4,
95,Fixed PID,Fixed PID,20.0,5,Fixed PID_SP20_trial05.txt,22.57,2.57,12.86,2.57,12.86,2.57,12.86,24.66,23.197,20.655,NA,1,OVERSHOOT,TRUE,TARGET,0.4,
96,Fixed PID,Fixed PID,20.0,6,Fixed PID_SP20_trial06.txt,19.86,-0.14,-0.68,0.14,0.68,0.0,0.0,24.92,17.259,14.718,23.198,0,AKURAT,TRUE,TARGET,0.4,
97,Fixed PID,Fixed PID,20.0,7,Fixed PID_SP20_trial07.txt,19.85,-0.15,-0.77,0.15,0.77,0.04,0.2,43.51,38.432,35.89,40.756,4,AKURAT,TRUE,TARGET,0.4,
98,Fixed PID,Fixed PID,20.0,8,Fixed PID_SP20_trial08.txt,20.87,0.87,4.37,0.87,4.37,0.87,4.37,35.25,33.526,30.984,33.784,5,AKURAT,TRUE,TARGET,0.4,
99,Fixed PID,Fixed PID,20.0,9,Fixed PID_SP20_trial09.txt,19.93,-0.07,-0.35,0.07,0.35,0.0,0.0,34.99,25.522,24.53,31.461,2,AKURAT,TRUE,TARGET,0.4,
100,Fixed PID,Fixed PID,20.0,10,Fixed PID_SP20_trial10.txt,19.49,-0.51,-2.57,0.51,2.57,0.0,0.0,74.5,17.002,14.461,70.453,0,AKURAT,TRUE,TARGET,0.4,
101,Fixed PID,Fixed PID,25.0,1,Fixed PID_SP25_trial01.txt,24.86,-0.14,-0.56,0.14,0.56,0.0,0.0,41.45,37.661,35.119,37.661,4,AKURAT,TRUE,TARGET,0.4,
102,Fixed PID,Fixed PID,25.0,2,Fixed PID_SP25_trial02.txt,24.75,-0.25,-1.01,0.25,1.01,0.0,0.0,24.92,21.135,18.593,23.201,1,AKURAT,TRUE,TARGET,0.4,
103,Fixed PID,Fixed PID,25.0,3,Fixed PID_SP25_trial03.txt,24.77,-0.23,-0.93,0.23,0.93,0.0,0.0,64.17,50.831,48.289,57.803,7,AKURAT,TRUE,TARGET,0.4,
104,Fixed PID,Fixed PID,25.0,4,Fixed PID_SP25_trial04.txt,24.38,-0.62,-2.47,0.62,2.47,0.0,0.0,52.04,21.137,18.595,45.93,0,AKURAT,TRUE,TARGET,0.4,
105,Fixed PID,Fixed PID,25.0,5,Fixed PID_SP25_trial05.txt,26.19,1.19,4.78,1.19,4.78,1.19,4.78,31.12,29.657,27.115,29.657,4,AKURAT,TRUE,TARGET,0.4,
106,Fixed PID,Fixed PID,25.0,6,Fixed PID_SP25_trial06.txt,25.6,0.6,2.4,0.6,2.4,0.6,2.4,30.86,23.461,20.919,28.368,0,AKURAT,TRUE,TARGET,0.4,
107,Fixed PID,Fixed PID,25.0,7,Fixed PID_SP25_trial07.txt,31.19,6.19,24.78,6.19,24.78,6.19,24.78,58.49,56.771,52.163,NA,10,OVERSHOOT,TRUE,TARGET,0.4,
108,Fixed PID,Fixed PID,25.0,8,Fixed PID_SP25_trial08.txt,25.59,0.59,2.38,0.59,2.38,0.59,2.38,70.11,50.572,45.706,66.583,6,AKURAT,TRUE,TARGET,0.4,
109,Fixed PID,Fixed PID,25.0,9,Fixed PID_SP25_trial09.txt,25.37,0.37,1.48,0.37,1.48,0.37,1.48,49.46,47.992,45.45,47.992,8,AKURAT,TRUE,TARGET,0.4,
110,Fixed PID,Fixed PID,25.0,10,Fixed PID_SP25_trial10.txt,25.03,0.03,0.11,0.03,0.11,0.03,0.11,45.33,35.599,33.057,41.797,4,AKURAT,TRUE,TARGET,0.4,
111,Fixed PID,Fixed PID,30.0,1,Fixed_PID_SP30_trial01.txt,29.91,-0.09,-0.31,0.09,0.31,0.0,0.0,22.6,13.905,13.17,17.004,1,AKURAT,TRUE,TARGET,0.4,
112,Fixed PID,Fixed PID,30.0,2,Fixed_PID_SP30_trial02.txt,29.92,-0.08,-0.26,0.08,0.26,0.0,0.0,46.62,44.638,42.096,44.897,3,AKURAT,TRUE,TARGET,0.4,
113,Fixed PID,Fixed PID,30.0,3,Fixed_PID_SP30_trial03.txt,30.31,0.31,1.03,0.31,1.03,0.31,1.03,47.39,25.786,23.244,42.056,1,AKURAT,TRUE,TARGET,0.4,
114,Fixed PID,Fixed PID,30.0,4,Fixed_PID_SP30_trial04.txt,30.07,0.07,0.24,0.07,0.24,0.07,0.24,28.8,23.201,20.659,25.266,1,AKURAT,TRUE,TARGET,0.4,
115,Fixed PID,Fixed PID,30.0,5,Fixed_PID_SP30_trial05.txt,30.13,0.13,0.42,0.13,0.42,0.13,0.42,63.92,53.673,51.131,60.129,10,AKURAT,TRUE,TARGET,0.4,
116,Fixed PID,Fixed PID,30.0,6,Fixed_PID_SP30_trial06.txt,30.67,0.67,2.24,0.67,2.24,0.67,2.24,27.51,26.043,23.501,26.043,2,AKURAT,TRUE,TARGET,0.4,
117,Fixed PID,Fixed PID,30.0,7,Fixed_PID_SP30_trial07.txt,33.36,3.36,11.2,3.36,11.2,3.36,11.2,28.02,26.3,23.758,NA,1,OVERSHOOT,TRUE,TARGET,0.4,
118,Fixed PID,Fixed PID,30.0,8,Fixed_PID_SP30_trial08.txt,30.32,0.32,1.08,0.32,1.08,0.32,1.08,26.73,20.103,17.561,23.202,1,AKURAT,TRUE,TARGET,0.4,
119,Fixed PID,Fixed PID,30.0,9,Fixed_PID_SP30_trial09.txt,30.15,0.15,0.51,0.15,0.51,0.15,0.51,62.11,19.845,19.111,58.582,1,AKURAT,TRUE,TARGET,0.4,
120,Fixed PID,Fixed PID,30.0,10,Fixed_PID_SP30_trial10.txt,32.81,2.81,9.36,2.81,9.36,2.81,9.36,27.76,26.043,23.5,NA,3,OVERSHOOT,TRUE,TARGET,0.4,
121,GS PID,Gain Scheduling PID,15.0,1,GSPID_SSP15_trial01.txt,14.63,-0.37,-2.45,0.37,2.45,0.0,0.0,12.01,10.546,9.812,10.546,1,AKURAT,TRUE,TARGET,0.4,
